Player,weighted_pred,scaled_pred
Dele Alli,78.36712365667543,0.0
Tanguy Ndombele,78.36712365667543,0.0
Steven Bergwijn,78.36712365667543,0.0
Giovani Lo Celso,78.36712365667543,0.0
Bryan,78.36712365667543,0.0
Joe Rodon,78.36712365667543,0.0
Dane Scarlett,78.36712365667543,0.0
Brandon Austin,78.36712365667543,0.0
Jamie Bowden,78.36712365667543,0.0
Matthew Craig,78.36712365667543,0.0
Alfie Devine,78.36712365667543,0.0
Pierluigi Gollini,78.36712365667543,0.0
Marcel Lavinier,78.36712365667543,0.0
Dilan Markanday,78.36712365667543,0.0
Tobi Omole,78.36712365667543,0.0
Moussa Sissoko,77.7328483510054,-0.23952146354138565
Harvey White,78.36712365667543,0.0
Bukayo Saka,82.33208757202912,1.4972898225811733
Gabriel Dos Santos,81.14153184432901,1.0477001132276422
Aaron Ramsdale,78.91731389999315,0.20776841085818254
Ben White,78.75507120392956,0.14650068111581277
Martin Ødegaard,80.83076226631164,0.9303441583521366
Granit Xhaka,80.11228980894937,0.6590273138160001
Thomas Partey,80.48230779597979,0.7987572528470348
Kieran Tierney,77.5652348448681,-0.30281737296812744
Emile Smith Rowe,78.15035528232285,-0.081858268499938
Martinelli,79.48793039773726,0.42325039074726245
Alexandre Lacazette,77.47174080613013,-0.3381235385885247
Takehiro Tomiyasu,76.3353542305528,-0.767257344205525
Cédric Soares,77.09780512911797,-0.4793329153806354
Nuno Tavares,76.85226129628752,-0.5720576638886704
Albert Sambi Lokonga,76.36250725697339,-0.757003543419496
Pierre-Emerick Aubameyang,77.13784030350641,-0.46421442743552627
Rob Holding,78.36712365667543,0.0
Eddie Nketiah,78.36712365667543,0.0
Mohamed Elneny,78.36712365667543,0.0
Nicolas Pépé,78.36712365667543,0.0
Bernd Leno,78.36712365667543,0.0
Ainsley Maitland-Niles,78.36712365667543,0.0
Pablo Marí,78.36712365667543,0.0
Calum Chambers,78.36712365667543,0.0
Sead Kolašinac,78.36712365667543,0.0
Folarin Balogun,78.36712365667543,0.0
Reiss Nelson,78.36712365667543,0.0
Ryan Alebiousu,78.36712365667543,0.0
Zach Awe,78.36712365667543,0.0
Miguel Azeez,78.36712365667543,0.0
Héctor Bellerín,78.36712365667543,0.0
Mika Biereth,78.36712365667543,0.0
Marcelo Flores,78.36712365667543,0.0
Omari Hutchinson,78.36712365667543,0.0
Karl Jakob Hein,78.36712365667543,0.0
Alex Kirk,78.36712365667543,0.0
Mazeed Ogungbo,78.36712365667543,0.0
Arthur Okonkwo,78.36712365667543,0.0
Salah Oulad M'Hand,78.36712365667543,0.0
Charlie Patino,78.36712365667543,0.0
Zak Swanson,78.36712365667543,0.0
David de Gea,82.05127950255745,1.3912482359502139
Bruno Fernandes,84.07739065539069,2.1563688457010337
Harry Maguire,79.16350705612932,0.30073836340791354
Scott McTominay,79.06202638571598,0.2624162050623563
Cristiano Ronaldo,85.19734690686609,2.5792980659586893
Victor Lindelöf,78.89075348996198,0.1977383998739084
Fred,80.49114098472889,0.8020929310265364
Jadon Sancho,78.22176776961031,-0.054890761934072066
Raphaël Varane,77.77426611904092,-0.22388086658324843
Aaron Wan-Bissaka,79.17763055765319,0.30607182306665365
Diogo Dalot,76.71093987179664,-0.6254248912128558
Luke Shaw,79.96573879574395,0.6036852362470879
Alex Telles,76.94697914852338,-0.5362893494229763
Nemanja Matić,79.01115104057985,0.24320414207291458
Paul Pogba,86.0968185059486,2.918965639172134
Mason Greenwood,81.74720189617713,1.2764193711665908
Anthony Elanga,77.39723190316664,-0.3662603449959962
Marcus Rashford,74.9682239886867,-1.2835269095759423
Edinson Cavani,78.36712365667543,0.0
Eric Bailly,78.36712365667543,0.0
Jesse Lingard,78.36712365667543,0.0
Juan Mata,78.36712365667543,0.0
Anthony Martial,78.36712365667543,0.0
Phil Jones,78.36712365667543,0.0
Daniel James,76.11480577338304,-0.8505430858556599
Hannibal Mejbri,78.36712365667543,0.0
Donny van de Beek,78.36712365667543,0.0
Shola Shoretire,78.36712365667543,0.0
Alejandro Garnacho,78.36712365667543,0.0
Amad Diallo,78.36712365667543,0.0
Álvaro Fernández,78.46306311934502,0.03622963136759618
Tom Heaton,78.36712365667543,0.0
Dean Henderson,78.36712365667543,0.0
Andreas Pereira,78.36712365667543,0.0
Charlie Savage,78.36712365667543,0.0
Brandon Williams,75.29191676241653,-1.1612907666763888
Łukasz Fabiański,82.67970877025084,1.6285620594344103
Declan Rice,81.66053349018381,1.2436907700989672
Tomáš Souček,78.01537819045292,-0.13282968469766113
Jarrod Bowen,81.85575389213517,1.3174118750679396
Michail Antonio,80.7583727662969,0.9030077023470544
Pablo Fornals,79.75480631724083,0.5240307778315801
Aaron Cresswell,80.11421297702616,0.6597535600189817
Craig Dawson,78.07849537591498,-0.10899473400457688
Saïd Benrahma,78.4471655447062,0.030226228255081797
Vladimír Coufal,75.2140281373098,-1.1907038579823548
Manuel Lanzini,79.26196509828141,0.3379190862625982
