Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled,Nation,Pos,Age,overall,UrlFBref
Lewis Dunk,2022,Brighton,Premier League,2573,79.69626551,0.514154616,ENG,DF,29,78,https://fbref.com/en/players/282f75f3/Lewis-Dunk
Neal Maupay,2022,Brighton,Premier League,2276,77.39568739,-0.348896792,FRA,FW,24,77,https://fbref.com/en/players/4bcf39f6/Neal-Maupay
Yves Bissouma,2022,Brighton,Premier League,2111,79.99086903,0.624673786,MLI,MF,24,79,https://fbref.com/en/players/6c203af0/Yves-Bissouma
Pascal Groß,2022,Brighton,Premier League,2038,80.06062531,0.65084254,GER,"MF,DF",30,76,https://fbref.com/en/players/8aec0537/Pascal-Gross
Alexis Mac Allister,2022,Brighton,Premier League,2123,77.97120117,-0.132995415,ARG,"MF,FW",22,75,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
Jakub Moder,2022,Brighton,Premier League,1701,75.4059517,-1.095337074,POL,"MF,FW",22,70,https://fbref.com/en/players/f230bc30/Jakub-Moder
Adam Lallana,2022,Brighton,Premier League,1561,78.7840444,0.171939022,ENG,MF,33,75,https://fbref.com/en/players/99813635/Adam-Lallana
Solly March,2022,Brighton,Premier League,1746,74.90010021,-1.285104958,ENG,"DF,FW",27,75,https://fbref.com/en/players/bb5fbd2b/Solly-March
Tariq Lamptey,2022,Brighton,Premier League,1561,74.91404038,-1.279875369,ENG,"DF,FW",20,74,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey
Adam Webster,2022,Brighton,Premier League,1434,76.44855416,-0.704209509,ENG,DF,26,75,https://fbref.com/en/players/c40b6180/Adam-Webster
Danny Welbeck,2022,Brighton,Premier League,1478,76.16781424,-0.809527814,ENG,FW,30,73,https://fbref.com/en/players/ce5143da/Danny-Welbeck
Shane Duffy,2022,Brighton,Premier League,1436,77.82611407,-0.18742418,IRL,DF,29,72,https://fbref.com/en/players/7314bba4/Shane-Duffy
Dan Burn,2022,Brighton,Premier League,1022,76.66030842,-0.624770863,ENG,DF,29,75,https://fbref.com/en/players/b2d31e83/Dan-Burn
Dan Burn,2022,Newcastle Utd,Premier League,1440,76.54894244,-0.666549303,ENG,DF,29,75,https://fbref.com/en/players/b2d31e83/Dan-Burn
Enock Mwepu,2022,Brighton,Premier League,996,77.8778701,-0.168008143,ZAM,"MF,FW",23,75,https://fbref.com/en/players/1d5cab82/Enock-Mwepu
Moisés Caicedo,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,64,NA
Steven Alzate,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,70,NA
Aaron Connolly,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,70,NA
Jason Steele,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,66,NA
Jeremy Sarmiento,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,59,NA
Taylor Richards,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,66,NA
Evan Ferguson,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,55,NA
Jürgen Locadia,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,71,NA
Florin Andone,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Michał Karbownik,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Marc Leonard,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Thomas Mcgill,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Odeluga Offiah,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Haydon Roberts,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
Kjell Scherpen,NA,NA,NA,NA,78.32571811,8.00E-14,NA,NA,NA,NA,NA
