Player,weighted_pred,value,rating,rating_scaled
Sadio Mané,87.65663856693085,-0.9985811736289035,86.65805739330195,3.0342288895684364
Joël Matip,83.03468884744228,-1.0374873564965772,81.9972014909457,1.3286729241680533
Mohamed Salah,90.13389431734151,-0.9566496446130972,89.17724467272842,3.956079936328856
Jordan Henderson,82.3135305442557,-0.9089522599160657,81.40457828433964,1.1118131742773303
Andrew Robertson,84.3933563134978,-0.8914866409368422,83.50186967256096,1.8792790460618212
Diogo Jota,85.1923430199938,-0.8323411520912007,84.3600018679026,2.193297010901102
Fabinho,81.11434495741202,-0.8072158113253877,80.30712914608662,0.7102215001977508
Thiago Alcántara,84.88515742091548,-0.6137141209163225,84.27144329999915,2.1608906038077866
Naby Keïta,80.21147756018797,-0.436992368818162,79.7744851913698,0.5153100733195972
Ibrahima Konaté,77.32976317045411,-0.24393785874095864,77.08582531171315,-0.46855640801977466
Luis Díaz,85.32550294133473,-0.33488416635753526,84.9906187749772,2.424059868684301
Roberto Firmino,85.44965402453587,-0.31210361146957655,85.1375504130663,2.477826845629936
Curtis Jones,78.36712365667543,-0.23560954704687279,78.13151410962855,-0.08590549483978302
Kostas Tsimikas,78.36712365667543,-0.2991620421562306,78.0679616145192,-0.10916138161693735
James Milner,78.36712365667543,-0.1707623884300523,78.19636126824538,-0.06217584935508058
Alex Oxlade-Chamberlain,78.36712365667543,-0.36849908706930096,77.99862456960614,-0.13453401983021832
Harvey Elliott,78.36712365667543,-0.12542575956203472,78.2416978971134,-0.04558572954942542
Joe Gomez,78.36712365667543,-0.13665692899181833,78.23046672768362,-0.049695572981764816
Caoimhín Kelleher,78.36712365667543,-0.03289769980137216,78.33422595687406,-0.011726758665569286
Takumi Minamino,78.36712365667543,-0.0353646158043919,78.33175904087103,-0.012629481983615305
Tyler Morton,78.36712365667543,-0.009221876712409129,78.35790177996303,-0.0030630191827128728
Divock Origi,78.36712365667543,-0.02073551740295379,78.34638813927248,-0.007276227866834663
Kaide Gordon,78.36712365667543,-0.0028475801380470627,78.36427607653738,-7.304605764453193e-4
Neco Williams,78.36712365667543,-0.0018570509801142387,78.36526660569531,-3.679943364229533e-4
Adrián,78.36712365667543,NA,NA,NA
Owen Beck,78.36712365667543,NA,NA,NA
Conor Bradley,78.36712365667543,NA,NA,NA
Nathaniel Phillips,78.36712365667543,NA,NA,NA
Marcelo Pitaluga,78.36712365667543,NA,NA,NA
Jarrell Quansah,78.36712365667543,NA,NA,NA
Rhys Williams,78.36712365667543,NA,NA,NA
Ben Woodburn,78.36712365667543,NA,NA,NA
Edouard Mendy,83.67536682849854,-0.8615919881374353,82.8137748403611,1.6274831805800456
Antonio Rüdiger,83.46656822197302,-0.7363903325683955,82.73017788940463,1.5968923875196934
Thiago Silva,81.64225009725453,-0.6488662854336165,80.99338381182092,0.9613439900252668
Mason Mount,84.44487407941735,-0.6407602920275247,83.80411378738982,1.9898798163608833
Jorginho,82.74600915558581,-0.6247192759850462,82.12128987960077,1.3740808269098177
Marcos Alonso,80.98855217886904,-0.40951076006486065,80.57904141880418,0.8097228811704078
César Azpilicueta,81.5653304590043,-0.38633089090131817,81.17899956810298,1.0292667207492805
Reece James,87.35088217404406,-0.5874757461615728,86.76340642788249,3.0727794644289848
Kai Havertz,83.62307670649919,-0.5914247440272143,83.03165196247198,1.7072113749558073
N'Golo Kanté,83.1649971981372,-0.4270154725960158,82.73798172554119,1.5997480602876475
