Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled
Andrew Omobamidele,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Christos Tzolis,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Christoph Zimmermann,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tony Springett,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jon Rowe,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Bali Mumba,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Thomas Dickson-Peters,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Liam Gibbs,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Abu Kamara,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jon McCracken,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Michael McGovern,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jonathan Tomkinson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
