Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled
Salah Oulad M'Hand,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Charlie Patino,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Zak Swanson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
David de Gea,2022,Manchester Utd,Premier League,3420,81.82750644851258,1.5208550955890314
Bruno Fernandes,2022,Manchester Utd,Premier League,3111,83.75223278673974,2.2409992158901053
Harry Maguire,2022,Manchester Utd,Premier League,2515,78.47677826649624,0.2671666355304634
Scott McTominay,2022,Manchester Utd,Premier League,2387,77.00312016383458,-0.2842084856430383
Cristiano Ronaldo,2022,Manchester Utd,Premier League,2456,83.36950420935324,2.0977997754283755
Victor Lindelöf,2022,Manchester Utd,Premier League,2355,78.49031900527157,0.2722329575420231
Fred,2022,Manchester Utd,Premier League,2028,78.57368059169697,0.3034230312324547
Jadon Sancho,2022,Manchester Utd,Premier League,1900,80.50887041101555,1.027482105174579
Raphaël Varane,2022,Manchester Utd,Premier League,1831,78.37277125103084,0.22825199131851823
Aaron Wan-Bissaka,2022,Manchester Utd,Premier League,1793,79.74635179697044,0.7421826911132027
Diogo Dalot,2022,Manchester Utd,Premier League,1801,76.71637282415573,-0.3914961590023095
Luke Shaw,2022,Manchester Utd,Premier League,1601,79.29798724713109,0.57442528690183
Alex Telles,2022,Manchester Utd,Premier League,1660,75.97398714493019,-0.6692627543212181
Nemanja Matić,2022,Manchester Utd,Premier League,1382,78.39183832639813,0.23538601444917176
Paul Pogba,2022,Manchester Utd,Premier League,1349,84.35163040041124,2.4652662499275855
Mason Greenwood,2022,Manchester Utd,Premier League,1271,81.61372084155556,1.4408663487228666
Anthony Elanga,2022,Manchester Utd,Premier League,1214,76.78309651408352,-0.36653122137353744
Marcus Rashford,2022,Manchester Utd,Premier League,1235,74.10135818633307,-1.3699144299674204
Edinson Cavani,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Eric Bailly,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jesse Lingard,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Juan Mata,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Anthony Martial,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Phil Jones,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Daniel James,2022,Leeds United,Premier League,2366,76.0910771314038,-0.6254530637535897
Hannibal Mejbri,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Donny van de Beek,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Shola Shoretire,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Alejandro Garnacho,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Amad Diallo,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Álvaro Fernández,2022,Brentford,Premier League,1080,76.05845828964185,-0.6376575349240379
Tom Heaton,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dean Henderson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Andreas Pereira,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Charlie Savage,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Brandon Williams,2022,Norwich City,Premier League,2120,74.94642863983317,-1.053727912309639
Łukasz Fabiański,2022,West Ham,Premier League,3330,81.84108487357577,1.5259355180771497
Declan Rice,2022,West Ham,Premier League,3179,81.88625755103106,1.5428370574916586
Tomáš Souček,2022,West Ham,Premier League,3062,78.2648583427323,0.1878759415537677
Jarrod Bowen,2022,West Ham,Premier League,2983,81.92436604522173,1.5570955042536092
Michail Antonio,2022,West Ham,Premier League,2971,79.86197133823987,0.7854422086785807
Pablo Fornals,2022,West Ham,Premier League,2795,78.38206812905082,0.23173045571642972
Aaron Cresswell,2022,West Ham,Premier League,2726,80.86031905975491,1.158978034206512
Craig Dawson,2022,West Ham,Premier League,2754,77.55458195675095,-0.07787683222720475
Saïd Benrahma,2022,West Ham,Premier League,2168,77.11181179113915,-0.2435410750222455
Vladimír Coufal,2022,West Ham,Premier League,2209,74.7938197362673,-1.1108271489262
Manuel Lanzini,2022,West Ham,Premier League,1786,80.0971832484093,0.8734476932864943
Ben Johnson,2022,West Ham,Premier League,1397,73.0709299749854,-1.7554533001207093
Angelo Ogbonna,2022,West Ham,Premier League,921,76.69077747219099,-0.40107276314512036
Issa Diop,2022,West Ham,Premier League,963,76.8828851233056,-0.3291949108669283
Arthur Masuaku,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Nikola Vlašić,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Mark Noble,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ryan Fredericks,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Andriy Yarmolenko,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Alphonse Areola,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Harrison Ashby,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Sonny Perkins,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Daniel Chesters,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Alex Král,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ajibola Alese,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jamal Baptiste,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Conor Coventry,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Pierre Ekwah Elimby,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Armstrong Okoflex,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Darren Randolph,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kasper Schmeichel,2022,Leicester City,Premier League,3330,80.88496687105618,1.168200112189424
Youri Tielemans,2022,Leicester City,Premier League,2631,81.7418331055251,1.488800068859467
Çağlar Söyüncü,2022,Leicester City,Premier League,2497,79.80919143948518,0.7656943967411767
James Maddison,2022,Leicester City,Premier League,2459,83.04167891643634,1.975142620231168
Harvey Barnes,2022,Leicester City,Premier League,2101,79.14504164324848,0.5172000725041236
Daniel Amartey,2022,Leicester City,Premier League,2123,78.46237280531415,0.2617767741436933
Kiernan Dewsbury Hall,2022,Leicester City,Premier League,2105,75.66149317684498,-0.7861836325139044
Timothy Castagne,2022,Leicester City,Premier League,2127,76.37673577934736,-0.5185727287968843
Luke Thomas,2022,Leicester City,Premier League,1912,76.38677184290007,-0.5148176951513662
Jamie Vardy,2022,Leicester City,Premier League,1806,80.89844288994276,1.1732422189936436
Wilfred Ndidi,2022,Leicester City,Premier League,1618,75.72112421286715,-0.7638724399428193
Ademola Lookman,2022,Leicester City,Premier League,1453,80.08772114353606,0.8699074085952121
Jonny Evans,2022,Leicester City,Premier League,1348,77.7287974613254,-0.012693398721466175
Kelechi Iheanacho,2022,Leicester City,Premier League,1264,76.98823054507226,-0.28977949654066515
Patson Daka,2022,Leicester City,Premier League,1159,78.49320169093535,0.27331152600664854
Ricardo Pereira,2022,Leicester City,Premier League,991,78.64466522743255,0.3299822189161332
Boubakary Soumaré,2022,Leicester City,Premier League,1102,73.84266532046972,-1.4667054088277827
Nampalys Mendy,2022,Leicester City,Premier League,1032,79.25353026263782,0.5577915268948721
Marc Albrighton,2022,Leicester City,Premier League,1132,73.19213659647083,-1.7101033539643706
James Justin,2022,Leicester City,Premier League,998,77.91612842920838,0.05739723826514091
Wesley Fofana,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jannik Vestergaard,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ayoze Pérez,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ryan Bertrand,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Hamza Choudhury,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Danny Ward,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Lewis Brunt,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kasey McAteer,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Vontae Daley Campbell,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Eldin Jakupović,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Benjamin Nelson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dennis Praet,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Robert Sánchez,2022,Brighton,Premier League,3329,82.13535088713098,1.6360363335839485
Marc Cucurella,2022,Brighton,Premier League,3089,79.66497237256816,0.711734251336163
Joël Veltman,2022,Brighton,Premier League,2874,77.65980173088026,-0.03850842947108956
Leandro Trossard,2022,Brighton,Premier League,2805,79.66953385066229,0.7134409467578077
Lewis Dunk,2022,Brighton,Premier League,2573,79.91966310935724,0.8070278174660624
Neal Maupay,2022,Brighton,Premier League,2276,77.82470774136826,0.023191819284597234
Yves Bissouma,2022,Brighton,Premier League,2111,78.34461390688482,0.21771680747065228
Pascal Groß,2022,Brighton,Premier League,2038,78.91568780380922,0.43138640868073014
Alexis Mac Allister,2022,Brighton,Premier League,2123,76.76045944100096,-0.37500097354425355
Jakub Moder,2022,Brighton,Premier League,1701,73.78626380353491,-1.4878082638103143
Adam Lallana,2022,Brighton,Premier League,1561,77.22283507141904,-0.20200126703907642
Solly March,2022,Brighton,Premier League,1746,74.07895894666507,-1.3782951958070908
Tariq Lamptey,2022,Brighton,Premier League,1561,72.99182705724922,-1.7850499757493283
Adam Webster,2022,Brighton,Premier League,1434,75.2229936649181,-0.9502499930126626
Danny Welbeck,2022,Brighton,Premier League,1478,76.16560144226891,-0.5975694923475708
Shane Duffy,2022,Brighton,Premier League,1436,78.94620655824968,0.44280512371190517
Dan Burn,2022,Brighton,Premier League,1022,74.46448113494438,-1.2340505145654594
Dan Burn,2022,Newcastle Utd,Premier League,1440,73.36041050850794,-1.6471429912640805
Enock Mwepu,2022,Brighton,Premier League,996,77.51909249813623,-0.09115535626797792
Moisés Caicedo,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Steven Alzate,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Aaron Connolly,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jason Steele,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jeremy Sarmiento,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Taylor Richards,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Evan Ferguson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jürgen Locadia,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Florin Andone,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Michał Karbownik,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Marc Leonard,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Thomas Mcgill,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Odeluga Offiah,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Haydon Roberts,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kjell Scherpen,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ed Turns,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Andi Zeqiri,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Conor Coady,2022,Wolves,Premier League,3361,81.02271929076826,1.2197407354679926
José Sá,2022,Wolves,Premier League,3285,77.50767665640998,-0.09542663948064335
João Moutinho,2022,Wolves,Premier League,2970,80.29113535462506,0.9460156558779664
Romain Saïss,2022,Wolves,Premier League,2705,80.22300362877758,0.9205238959323839
Rúben Neves,2022,Wolves,Premier League,2661,79.54146919682425,0.6655250401438821
Max Kilman,2022,Wolves,Premier League,2687,78.04998100404924,0.10747871886024214
Raúl Jiménez,2022,Wolves,Premier League,2631,79.01941995314567,0.4701982106222185
Nélson Semedo,2022,Wolves,Premier League,2131,76.95658198831863,-0.30162093166288084
Leander Dendoncker,2022,Wolves,Premier League,1950,76.32558137367717,-0.5377123559424318
Rayan Aït Nouri,2022,Wolves,Premier League,1828,77.03755153932649,-0.27132584766905327
Hwang Hee-chan,2022,Wolves,Premier League,1816,75.09343597241751,-0.9987245260623934
Fernando Marçal,2022,Wolves,Premier League,1449,76.02248700245573,-0.6511163370676206
Francisco Trincão,2022,Wolves,Premier League,1336,75.66048572570806,-0.7865605744190158
Daniel Podence,2022,Wolves,Premier League,1484,77.30371752181115,-0.17173877209183525
Adama Traoré,2022,Wolves,Premier League,1067,76.98680986374124,-0.29031105018911396
Jonny Castro,2022,Wolves,Premier League,1024,78.71367278608123,0.3558016752358047
Willy Boly,2022,Wolves,Premier League,900,77.3272098496895,-0.16294902289073201
Fábio Silva,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Pedro Neto,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Toti Gomes,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ki-Jana Hoever,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Luke Cundle,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Chiquinho,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
John Ruddy,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Chem Campbell,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Morgan Gibbs-White,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Hugo Bueno,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ryan John Giles,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Bruno Jordão,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Christian Marques,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Yerson Mosquera,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Louie Moulden,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dion Sanderson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
James Storer,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Allan Saint-Maximin,2022,Newcastle Utd,Premier League,2804,79.20523820548198,0.5397228589874852
Joelinton,2022,Newcastle Utd,Premier League,2558,75.10489047474044,-0.994438777831591
Martin Dúbravka,2022,Newcastle Utd,Premier League,2340,80.17976168465489,0.9043447481793472
Fabian Schär,2022,Newcastle Utd,Premier League,2158,74.1677016954947,-1.3450917385052708
Joe Willock,2022,Newcastle Utd,Premier League,2038,75.8639093111299,-0.7104488196918275
Jamaal Lascelles,2022,Newcastle Utd,Premier League,2058,72.16345026090359,-2.0949904942708475
Jonjo Shelvey,2022,Newcastle Utd,Premier League,1983,74.61227222798384,-1.1787538811836629
Miguel Almirón,2022,Newcastle Utd,Premier League,1716,73.24835447173497,-1.689069209253399
Emil Krafth,2022,Newcastle Utd,Premier League,1634,72.46055082861439,-1.9838291188972894
Ryan Fraser,2022,Newcastle Utd,Premier League,1465,74.83408520512522,-1.095761661395173
Matt Targett,2022,Aston Villa,Premier League,1431,75.63772772605755,-0.7950755717527269
Matt Targett,2022,Newcastle Utd,Premier League,1440,74.53918564125742,-1.206099522306018
Callum Wilson,2022,Newcastle Utd,Premier League,1386,74.09330432981119,-1.3729278128597253
Sean Longstaff,2022,Newcastle Utd,Premier League,1464,73.94954298130803,-1.4267167010745896
Chris Wood,2022,Burnley,Premier League,1367,71.0782908731459,-2.501007254764193
Chris Wood,2022,Newcastle Utd,Premier League,1327,69.18760105874316,-3.2084164724347897
Javier Manquillo,2022,Newcastle Utd,Premier League,1257,73.44062849111711,-1.6171291096170834
Matt Ritchie,2022,Newcastle Utd,Premier League,1337,74.44661176013379,-1.2407364132034724
Jacob Murphy,2022,Newcastle Utd,Premier League,1473,70.27429056278973,-2.8018272127622437
Ciaran Clark,2022,Newcastle Utd,Premier League,1014,73.00746966892848,-1.7791972295156253
Isaac Hayden,2022,Newcastle Utd,Premier League,1002,73.24246056986708,-1.691274436402576
Bruno Guimarães,2022,Newcastle Utd,Premier League,1034,83.07030531264499,1.9858533017995705
Karl Darlow,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Federico Fernández,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kieran Trippier,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Freddie Woodman,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jamal Lewis,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Paul Dummett,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jeff Hendrick,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dwight Gayle,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Elliot Anderson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Lucas De Bolle,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Mark Gillespie,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Joe White,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Marc Guéhi,2022,Crystal Palace,Premier League,3222,81.44615707061509,1.3781716881773018
Tyrick Mitchell,2022,Crystal Palace,Premier League,3101,76.00940708168991,-0.6560102421628168
Conor Gallagher,2022,Crystal Palace,Premier League,2845,80.52815213480622,1.0346964398783427
Joachim Andersen,2022,Crystal Palace,Premier League,2916,80.38105501556295,0.9796594595906211
Wilfried Zaha,2022,Crystal Palace,Premier League,2760,80.42739831407941,0.9969989915953255
Vicente Guaita,2022,Crystal Palace,Premier League,2655,81.7129142877397,1.4779799765790216
Joel Ward,2022,Crystal Palace,Premier League,2487,77.10074451778702,-0.24768193997224097
Jordan Ayew,2022,Crystal Palace,Premier League,2019,74.69274669630468,-1.1486440343734452
Cheikhou Kouyaté,2022,Crystal Palace,Premier League,1974,73.3578350329255,-1.6481066158380477
Jeffrey Schlupp,2022,Crystal Palace,Premier League,1851,73.69820066092319,-1.5207574437054032
Odsonne Édouard,2022,Crystal Palace,Premier League,1564,76.21121422135232,-0.5805032871343313
James McArthur,2022,Crystal Palace,Premier League,1439,76.01966356324036,-0.652172738234684
Nathaniel Clyne,2022,Crystal Palace,Premier League,1351,72.95063075107701,-1.800463739814804
Jean-Philippe Mateta,2022,Crystal Palace,Premier League,1145,76.41959388983875,-0.502537193944683
Will Hughes,2022,Crystal Palace,Premier League,1053,75.85167822295584,-0.7150251306501675
Michael Olise,2022,Crystal Palace,Premier League,1141,76.28533773787498,-0.5527696745476187
Christian Benteke,2022,Crystal Palace,Premier League,1145,73.94171788605911,-1.429644492014207
Luka Milivojević,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jack Butland,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Eberechi Eze,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
James Tomkins,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jaïro Riedewald,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jesuran Rak Sakyi,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Nathan Ferguson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Omotayo Adaramola,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Scott Banks,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Reece Hannam,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Martin Kelly,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Remi Matthews,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Robert Street,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Pontus Jansson,2022,Brentford,Premier League,3321,77.63851407276735,-0.046473292589818777
Christian Nørgaard,2022,Brentford,Premier League,3054,80.6000226420189,1.0615870799471745
Bryan Mbeumo,2022,Brentford,Premier League,2905,79.6487879230294,0.7056787742825369
Rico Henry,2022,Brentford,Premier League,2776,75.2913416371243,-0.9246773236200202
Ivan Toney,2022,Brentford,Premier League,2909,78.31605026097097,0.2070296041780706
Ethan Pinnock,2022,Brentford,Premier League,2694,75.7755157133993,-0.7435216407021034
Vitaly Janelt,2022,Brentford,Premier League,2298,74.85966597876525,-1.0861905117913346
Sergi Canós,2022,Brentford,Premier League,2083,72.907672329939345,-1.8165368062997802
David Raya,2022,Brentford,Premier League,2160,81.55748341281053,1.419824887998174
Kristoffer Ajer,2022,Brentford,Premier League,1995,73.64547674108175,-1.5404843109066964
Mathias Jensen,2022,Brentford,Premier League,1601,73.49911766684833,-1.595245148678047
Yoane Wissa,2022,Brentford,Premier League,1284,72.9395178862572,-1.804621662996266
Mads Roerslev,2022,Brentford,Premier League,1240,72.32423940023367,-2.034830589458884
Frank Onyeka,2022,Brentford,Premier League,1045,74.27172233417191,-1.3061719971136942
Christian Eriksen,2022,Brentford,Premier League,939,80.76672650468862,1.1239600023459266
Shandon Baptiste,2022,Brentford,Premier League,910,71.20633322168077,-2.4530996937693894
Mads Bech Sørensen,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Mathias Jørgensen,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Saman Ghoddos,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Charlie Goode,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Josh Dasilva,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jonas Lössl,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Dominic Thompson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Marcus Forss,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Mads Bidstrup,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tariqe Fosu,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Finley Stevens,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Nathan Young-Coombes,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Matthew Cox,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Halil Dervişoğlu,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Patrik Gunnarsson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Maxwell Haygarth,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Julian Jeanvier,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Edmond-Paris Maghoma,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Myles Peart-Harris,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Matty Cash,2022,Aston Villa,Premier League,3377,77.62040882617188,-0.05324744360722352
Emiliano Martínez,2022,Aston Villa,Premier League,3240,79.63079402359541,0.6989462842545718
Tyrone Mings,2022,Aston Villa,Premier League,3189,77.06876326394429,-0.25964785505184224
John McGinn,2022,Aston Villa,Premier League,3090,79.1622612223295,0.5236428474498255
Ollie Watkins,2022,Aston Villa,Premier League,2952,79.80611025494609,0.7645415591219711
Douglas Luiz,2022,Aston Villa,Premier League,2715,78.3290280366322,0.21188529127051586
Ezri Konsa,2022,Aston Villa,Premier League,2477,75.91282467864626,-0.6921469376997529
Jacob Ramsey,2022,Aston Villa,Premier League,2467,76.16574073849343,-0.5975173741034993
Emi Buendía,2022,Aston Villa,Premier League,1899,78.39291039818282,0.23578713443020602
Danny Ings,2022,Aston Villa,Premier League,1898,76.26889988381888,-0.5589199639231859
Philippe Coutinho,2022,Aston Villa,Premier League,1329,81.11324540635714,1.253611446633648
Lucas Digne,2022,Aston Villa,Premier League,1269,77.54121305418768,-0.08287886102714628
Lucas Digne,2022,Everton,Premier League,1170,72.52107556027717,-1.9611835464987222
Ashley Young,2022,Aston Villa,Premier League,1250,73.22742959264622,-1.6968983371374473
Marvelous Nakamba,2022,Aston Villa,Premier League,904,73.69510770039255,-1.5219146873593312
Leon Bailey,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Axel Tuanzebe,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kortney Hause,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Anwar El Ghazi,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Morgan Sanson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Carney Chukwuemeka,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Bertrand Traoré,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tim Iroegbunam,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Robin Olsen,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jed Steer,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Cameron Archer,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Keinan Davis,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Trézéguet,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jaden Philogene Bidace,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Wesley Moraes,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Lamare Bogarde,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Benjamin Chrisene,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Josh Feeney,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Frederic Guilbert,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Conor Hourihane,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kaine Kessler,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Filip Marshall,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tommi O'Reilly,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Aaron Ramsey,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Viljami Sinisalo,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
James Ward-Prowse,2022,Southampton,Premier League,3215,80.78291388868337,1.1300165773380944
Oriol Romeu,2022,Southampton,Premier League,2889,77.86758458082825,0.03923436165591831
Mohammed Salisu,2022,Southampton,Premier League,2972,76.80022250160197,-0.36012346408835666
Jan Bednarek,2022,Southampton,Premier League,2629,76.97006688166232,-0.29657550444475067
Kyle Walker-Peters,2022,Southampton,Premier League,2633,77.52203010481713,-0.0900562388833437
Valentino Livramento,2022,Southampton,Premier League,2202,74.44290709198009,-1.2421225297310887
Mohamed Elyounoussi,2022,Southampton,Premier League,2042,76.13085819870015,-0.610568817020019
Che Adams,2022,Southampton,Premier League,2039,77.34664100027885,-0.15567877954772363
Armando Broja,2022,Southampton,Premier League,1975,73.79693763063149,-1.4838146083632786
Nathan Redmond,2022,Southampton,Premier League,1833,76.54915547902412,-0.4540612029346318
Fraser Forster,2022,Southampton,Premier League,1710,77.20361924334267,-0.2091909465956308
Romain Perraud,2022,Southampton,Premier League,1623,72.52103344277482,-1.9611993049320506
Alex McCarthy,2022,Southampton,Premier League,1530,77.35693896628123,-0.15182575404462403
Adam Armstrong,2022,Southampton,Premier League,1413,77.34361655488999,-0.15681038798509003
Stuart Armstrong,2022,Southampton,Premier League,1473,76.39413423749043,-0.5120630255288436
Ibrahima Diallo,2022,Southampton,Premier League,1023,74.26717918459569,-1.3078718348464589
Nathan Tella,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Lyanco,2022,Southampton,Premier League,911,73.05213912287938,-1.7624839732043764
Jack Stephens,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Moussa Djenepo,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Theo Walcott,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Yan Valery,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
