Date,Squad,Home_Away,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
2021-11-20,Chelsea,Away,1,14,Antonio Rüdiger,Goal,5,Head,,Ben Chilwell,Pass (Dead),N'Golo Kanté,Pass (Live)
2021-11-20,Chelsea,Away,1,17,N'Golo Kanté,Saved,19,Right Foot,Half volley,Jorginho,Pass (Live),Callum Hudson-Odoi,Pass (Live)
2021-11-20,Chelsea,Away,1,17,Kai Havertz,Blocked,22,Right Foot,,N'Golo Kanté,Shot,,
2021-11-20,Chelsea,Away,1,22,Mason Mount,Off Target,21,Right Foot,Free kick,Callum Hudson-Odoi,Fouled,Antonio Rüdiger,Pass (Live)
2021-11-20,Chelsea,Away,1,28,N'Golo Kanté,Goal,18,Left Foot,,Reece James,Pass (Live),Reece James,Dribble
2021-11-20,Chelsea,Away,1,38,N'Golo Kanté,Saved,8,Head,,Ben Chilwell,Pass (Live),Mason Mount,Pass (Live)
2021-11-20,Chelsea,Away,1,45+1,Reece James,Blocked,22,Right Foot,Free kick,Kai Havertz,Fouled,Edouard Mendy,Pass (Live)
2021-11-20,Chelsea,Away,1,45+1,Trevoh Chalobah,Wayward,27,Right Foot,Half volley,Reece James,Shot,,
2021-11-20,Chelsea,Away,2,53,Ben Chilwell,Saved,18,Left Foot,,Callum Hudson-Odoi,Pass (Live),Callum Hudson-Odoi,Dribble
2021-11-20,Chelsea,Away,2,55,Callum Hudson-Odoi,Saved,16,Right Foot,Half volley,,,,
2021-11-20,Chelsea,Away,2,61,Callum Hudson-Odoi,Off Target,14,Right Foot,,Callum Hudson-Odoi,Dribble,Antonio Rüdiger,Pass (Live)
2021-11-20,Chelsea,Away,2,68,Christian Pulisic,Off Target,6,Right Foot,Half volley,Hakim Ziyech,Pass (Live),Jorginho,Pass (Live)
2021-11-20,Chelsea,Away,2,71,Christian Pulisic,Goal,4,Right Foot,,Hakim Ziyech,Pass (Live),Hakim Ziyech,Dribble
2021-11-20,Chelsea,Away,2,73,Hakim Ziyech,Blocked,16,Left Foot,,Reece James,Pass (Live),N'Golo Kanté,Pass (Live)
2021-11-20,Chelsea,Away,2,88,Ben Chilwell,Off Target,26,Left Foot,,Christian Pulisic,Pass (Live),Trevoh Chalobah,Pass (Live)
2021-11-20,Wolves,Away,1,20,Rúben Neves,Saved,33,Right Foot,,,,,
2021-11-20,Wolves,Away,1,28,Nélson Semedo,Off Target,18,Left Foot,Half volley,,,,
2021-11-20,Wolves,Away,1,31,Nélson Semedo,Blocked,13,Right Foot,Half volley,,,,
2021-11-20,Wolves,Away,1,33,Raúl Jiménez,Off Target,13,Right Foot,Lob,Rúben Neves,Pass (Live),Max Kilman,Pass (Live)
2021-11-20,Wolves,Away,1,34,João Moutinho,Saved,28,Right Foot,,Hwang Hee-chan,Pass (Live),Rayan Aït Nouri,Pass (Live)
2021-11-20,Wolves,Away,1,35,Romain Saïss,Off Target,6,Head,,Rayan Aït Nouri,Pass (Dead),João Moutinho,Shot
2021-11-20,Wolves,Away,1,42,Nélson Semedo,Off Target,24,Right Foot,,Daniel Podence,Pass (Live),,
2021-11-20,Wolves,Away,2,48,Daniel Podence,Saved,21,Right Foot,,João Moutinho,Pass (Live),Hwang Hee-chan,Pass (Live)
2021-11-20,Wolves,Away,2,48,Max Kilman,Blocked,8,Head,,Rayan Aït Nouri,Pass (Dead),Daniel Podence,Shot
2021-11-20,Wolves,Away,2,51,Rúben Neves,Off Target,26,Right Foot,Volley,,,,
2021-11-20,Wolves,Away,2,56,Daniel Podence,Saved,17,Right Foot,,João Moutinho,Pass (Live),Rúben Neves,Pass (Live)
2021-11-20,Wolves,Away,2,58,Raúl Jiménez,Goal,19,Right Foot,,Daniel Podence,Pass (Live),Raúl Jiménez,Pass (Live)
2021-11-20,Wolves,Away,2,64,Rúben Neves,Off Target,13,Right Foot,,Daniel Podence,Pass (Live),Rúben Neves,Pass (Live)
2021-11-20,Wolves,Away,2,87,Max Kilman,Off Target,12,Right Foot,Volley,Rayan Aït Nouri,Pass (Dead),Nélson Semedo,Fouled
