Date,Squad,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event,45+,Home_Away,order,xG
2022-01-01,West Ham,1,50,Manuel Lanzini (pen),Goal,12,Right Foot,,Ben Johnson,Pass (Live),Declan Rice,Pass (Live),1,Away,185,0.7611688375473022
2022-01-01,Crystal Palace,2,51,Odsonne Édouard,Off Target,23,Left Foot,,Will Hughes,Pass (Live),Odsonne Édouard,Tackle,0,Home,185,0.02027551457285881
2022-01-01,West Ham,2,53,Saïd Benrahma,Off Target,11,Right Foot,Half volley,Vladimír Coufal,Pass (Live),Saïd Benrahma,Pass (Live),0,Away,185,0.11369682848453523
2022-01-01,Crystal Palace,2,55,Odsonne Édouard,Off Target,6,Left Foot,Half volley,Jordan Ayew,Pass (Live),Joachim Andersen,Pass (Live),0,Home,185,0.2672138512134552
2022-01-01,Crystal Palace,2,61,Jean-Philippe Mateta,Saved,8,Head,,Tyrick Mitchell,Pass (Live),Jordan Ayew,Pass (Live),0,Home,185,0.05468829721212387
2022-01-01,West Ham,2,65,Michail Antonio,Off Target,24,Right Foot,Half volley,Michail Antonio,Dribble,Manuel Lanzini,Pass (Live),0,Away,185,0.018395302817225456
2022-01-01,Crystal Palace,2,66,Odsonne Édouard,Off Target,17,Left Foot,Half volley,Jean-Philippe Mateta,Pass (Live),Christian Benteke,Pass (Live),0,Home,185,0.06918160617351532
2022-01-01,Crystal Palace,2,74,Jean-Philippe Mateta,Off Target,14,Head,,Tyrick Mitchell,Pass (Live),Will Hughes,Pass (Live),0,Home,185,0.02125244028866291
2022-01-01,Crystal Palace,2,79,Jordan Ayew,Blocked,15,Right Foot,Half volley,Tyrick Mitchell,Pass (Live),,,0,Home,185,0.09590338915586473
2022-01-01,Crystal Palace,2,83,Odsonne Édouard,Goal,7,Right Foot,Volley,Michael Olise,Pass (Live),Joachim Andersen,Pass (Live),0,Home,185,0.5571042895317078
2022-01-01,Crystal Palace,2,90,Michael Olise,Goal,26,Left Foot,Free kick,Jordan Ayew,Fouled,Joel Ward,Pass (Live),0,Home,185,0.05022598430514336
2022-01-01,Crystal Palace,2,94,Jean-Philippe Mateta,Off Target,12,Right Foot,Overhead kick,Jeffrey Schlupp,Pass (Live),Michael Olise,Pass (Live),0,Home,185,0.0842602327466011
2022-01-02,Leeds United,1,17,Stuart Dallas,Saved,19,Right Foot,,Stuart Dallas,Dribble,Mateusz Klich,Pass (Live),0,Home,186,0.042103618383407586
2022-01-02,Leeds United,1,17,Jack Harrison,Blocked,16,Left Foot,,Mateusz Klich,Pass (Live),Junior Firpo,Pass (Live),0,Home,186,0.048802312463521964
2022-01-02,Leeds United,1,18,Raphael Dias Belloli,Off Target,49,Left Foot,Lob,Tyler Roberts,Pass (Live),,,0,Home,186,0.008796569891273975
2022-01-02,Leeds United,1,21,Junior Firpo,Saved,11,Right Foot,"Deflected, Back heel",Raphael Dias Belloli,Pass (Live),Mateusz Klich,Pass (Live),0,Home,186,0.04407870769500733
2022-01-02,Leeds United,1,22,Stuart Dallas,Blocked,27,Right Foot,Half volley,,,,,0,Home,186,0.01464503351598978
2022-01-02,Leeds United,1,29,Raphael Dias Belloli,Off Target,21,Left Foot,,Stuart Dallas,Pass (Live),,,0,Home,186,0.028294498100876805
2022-01-02,Leeds United,1,33,Tyler Roberts,Blocked,17,Left Foot,,Jack Harrison,Pass (Live),Adam Forshaw,Pass (Live),0,Home,186,0.030475160107016563
2022-01-02,Burnley,1,33,Chris Wood,Saved,5,Right Foot,Volley,Charlie Taylor,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live),0,Away,186,0.6015405654907227
2022-01-02,Leeds United,1,34,Tyler Roberts,Off Target,6,Head,,Luke Ayling,Pass (Live),Mateusz Klich,Pass (Live),0,Home,186,0.3797914981842041
2022-01-02,Burnley,1,36,Ashley Westwood,Blocked,28,Right Foot,,Dwight McNeil,Pass (Live),Aaron Lennon,Pass (Live),0,Away,186,0.01466244738548994
2022-01-02,Leeds United,1,39,Jack Harrison,Saved,10,Left Foot,,Jack Harrison,Interception,,,0,Home,186,0.06401873379945755
2022-01-02,Leeds United,1,39,Jack Harrison,Goal,9,Right Foot,Half volley,Jack Harrison,Shot,,,0,Home,186,0.0550803430378437
2022-01-02,Leeds United,1,43,Raphael Dias Belloli,Blocked,10,Right Foot,,Tyler Roberts,Pass (Live),,,0,Home,186,0.11500301212072372
2022-01-02,Leeds United,1,44,Stuart Dallas,Blocked,23,Right Foot,,Raphael Dias Belloli,Pass (Dead),,,0,Home,186,0.02811669558286667
2022-01-02,Leeds United,1,44,Junior Firpo,Off Target,14,Left Foot,,Tyler Roberts,Pass (Live),Jack Harrison,Pass (Live),0,Home,186,0.09626446664333344
2022-01-02,Leeds United,1,45,Tyler Roberts,Saved,21,Right Foot,,Mateusz Klich,Pass (Live),,,1,Home,186,0.06193830817937851
